Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,691017,-,-,-,30.97,-97.26,-6,169,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,
2018,1,3,10,30,5.5,1.25,0.021,0.63,60,943,512,0,0,-10,60,943,0,512,0.319,31.86,61.34,0.88,0.17,1010,0.6000000000000001,326,3,,,,,,,,,,,,,,,,,,
2018,1,3,11,30,7.9,1.25,0.021,0.63,63,979,613,0,0,-9.9,63,979,0,613,0.319,27.26,55.83,0.88,0.17,1009,0.6000000000000001,337,3.1,,,,,,,,,,,,,,,,,,
2018,1,3,12,30,9.600000000000001,1.25,0.02,0.63,64,987,648,0,0,-9.3,64,987,0,648,0.319,25.43,53.71,0.88,0.17,1008,0.7000000000000001,343,3.2,,,,,,,,,,,,,,,,,,
2018,1,3,13,30,10.700000000000001,1.26,0.02,0.63,63,979,619,0,0,-8.8,63,979,0,619,0.319,24.45,55.370000000000005,0.88,0.17,1007,0.7000000000000001,346,3.2,,,,,,,,,,,,,,,,,,
2018,1,3,14,30,11.100000000000001,1.27,0.019,0.63,60,944,525,0,0,-8.4,60,944,0,525,0.317,24.59,60.49,0.88,0.17,1006,0.7000000000000001,348,3.1,,,,,,,,,,,,,,,,,,
2018,1,3,15,30,9.600000000000001,1.2,0.023,0.63,55,868,376,0,0,-7.7,55,868,0,376,0.315,28.69,68.29,0.89,0.17,1006,0.7000000000000001,351,2.2,,,,,,,,,,,,,,,,,,
2018,1,3,16,30,5.9,1.21,0.022,0.63,42,714,191,0,0,-2.2,42,714,0,191,0.312,56.1,77.94,0.89,0.17,1006,0.6000000000000001,177,1.4000000000000001,,,,,,,,,,,,,,,,,,
2018,1,3,17,30,2.9000000000000004,1.22,0.021,0.63,15,204,20,0,0,-4.4,15,204,0,20,0.31,58.75,88.58,0.89,0.17,1006,0.6000000000000001,3,1.6,,,,,,,,,,,,,,,,,,
2018,1,3,18,30,1.6,1.23,0.021,0.63,0,0,0,0,0,-5.300000000000001,0,0,0,0,0.31,60.1,100.71000000000001,0.89,0.17,1007,0.6000000000000001,9,1.6,,,,,,,,,,,,,,,,,,
2018,1,3,19,30,0.6000000000000001,1.24,0.021,0.63,0,0,0,0,0,-5.5,0,0,0,0,0.31,63.63,113,0.89,0.17,1007,0.6000000000000001,13,1.6,,,,,,,,,,,,,,,,,,
